,index,GradCAM_mean,GradATT_mean,ATMAN_mean,chefer_mean,rand_mean,GradCAM_mask,GradATT_mask,ATMAN_mask,chefer_mask,rand_mask,GradCAM_std,GradATT_std,ATMAN_std,chefer_std,rand_std
183,183,2.356673479,1.394972205,1.159536719,2.653394461,0.949406564,0.356933594,0.355117112,0.392089844,0.300699145,0.493293822,1.930268764,0.412203223,0.144312233,1.547751784,0.393881232
184,184,2.091032028,2.855254412,0.867185056,1.273336172,1.616577744,0.353759766,0.277876496,0.364990234,0.352954626,0.499347627,0.917154372,0.42256397,0.355704755,0.74621278,0.34156543
185,185,2.448753834,3.995253801,2.235403538,2.430082798,3.162456274,0.453613281,0.366642535,0.353759766,0.418989807,0.496038079,1.075317144,2.54603982,0.799834073,1.319625139,1.115915775
186,186,1.014277816,0.478139013,0.293976068,0.932103634,1.955423355,0.730957031,0.617874146,0.317382813,0.726445258,0.49799335,0.791594088,0.339035511,0.183696359,0.70765543,1.980968595
187,187,1.669916987,0.697345078,3.057096004,1.328482509,0.823291719,0.436035156,0.359566689,0.46484375,0.438673675,0.493692219,1.843999624,0.413587004,3.290853977,0.54144311,0.604071081
188,188,0.725647867,0.393618435,0.510197103,0.266439497,0.939376533,0.376220703,0.400991023,0.522949219,0.599749088,0.50253582,1.057754397,0.256400019,0.441942424,0.177594766,0.938664734
189,189,2.198628902,1.288808465,0.21128428,0.040295225,0.026027551,0.369140625,0.381440997,0.589355469,0.388963401,0.498248577,3.037161112,2.738295317,0.280098379,0.043058142,0.021400815
190,190,1.399835587,1.676528215,2.310097694,1.32832396,1.326840401,0.446777344,0.43754825,0.453125,0.378529489,0.502550721,0.616471529,0.798499525,1.944984555,0.563385189,0.614325404
191,191,0.508836865,0.457436234,0.261024475,0.431399584,0.510077953,0.475341797,0.42669192,0.317138672,0.554932892,0.49872303,0.189816251,0.489001215,0.337887943,0.37368378,0.574837267
192,192,1.214381695,4.741158485,1.776500344,1.114391446,0.781146944,0.506347656,0.42124626,0.676757813,0.518725514,0.504929245,2.137992859,0.880642116,2.346526384,1.307476282,1.488663793
193,193,2.072334051,1.572105765,1.266820312,1.141807795,2.178090811,0.572265625,0.437277019,0.423339844,0.48190847,0.501864016,1.879416227,1.359649301,0.602561474,1.314419985,1.163359404
194,194,1.39936626,4.110710144,1.523150444,1.506844521,2.907666206,0.485351563,0.45783481,0.362304688,0.511161208,0.504961431,2.713833809,1.730424643,2.83108592,2.550460577,2.191548109
